unique_id,ds,y
TOTAL,2015-04-01,2364483.0
TOTAL,2015-05-01,2547864.0
TOTAL,2015-06-01,2327666.0
TOTAL,2015-07-01,2431149.0
TOTAL,2015-08-01,2381990.0
TOTAL,2015-09-01,2338998.0
TOTAL,2015-10-01,2429629.0
TOTAL,2015-11-01,2580074.0
TOTAL,2015-12-01,2739732.0
TOTAL,2016-01-01,2674047.0
TOTAL,2016-02-01,2648837.0
TOTAL,2016-03-01,2775568.0
TOTAL,2016-04-01,2864356.0
TOTAL,2016-05-01,3046686.0
TOTAL,2016-06-01,2819655.0
TOTAL,2016-07-01,3011007.0
TOTAL,2016-08-01,2940545.0
TOTAL,2016-09-01,2887894.0
TOTAL,2016-10-01,3096506.0
TOTAL,2016-11-01,3062325.0
TOTAL,2016-12-01,3297415.0
TOTAL,2017-01-01,3281659.0
TOTAL,2017-02-01,2972075.0
TOTAL,2017-03-01,3065105.0
TOTAL,2017-04-01,3151226.0
TOTAL,2017-05-01,3501511.0
TOTAL,2017-06-01,3327065.0
TOTAL,2017-07-01,3332844.0
TOTAL,2017-08-01,3376726.0
TOTAL,2017-09-01,3302250.0
TOTAL,2017-10-01,3655111.0
TOTAL,2017-11-01,3636328.0
TOTAL,2017-12-01,3874548.0
TOTAL,2018-01-01,3930517.0
TOTAL,2018-02-01,3758026.0
TOTAL,2018-03-01,3980995.0
TOTAL,2018-04-01,3979572.0
TOTAL,2018-05-01,4065143.0
TOTAL,2018-06-01,3940804.0
TOTAL,2018-07-01,4041531.0
TOTAL,2018-08-01,3959575.0
TOTAL,2018-09-01,3900827.0
TOTAL,2018-10-01,4074611.0
TOTAL,2018-11-01,3899968.0
TOTAL,2018-12-01,4230391.0
TOTAL,2019-01-01,4217801.0
TOTAL,2019-02-01,3881722.0
TOTAL,2019-03-01,3958699.0
TOTAL,2019-04-01,3767482.0
TOTAL,2019-05-01,5434118.0
TOTAL,2019-06-01,5393586.0
TOTAL,2019-07-01,5357500.0
TOTAL,2019-08-01,5340802.0
TOTAL,2019-09-01,5260507.0
TOTAL,2019-10-01,5528239.0
TOTAL,2019-11-01,5798633.0
TOTAL,2019-12-01,5795966.0
TOTAL,2020-01-01,5657639.0
TOTAL,2020-02-01,5506400.0
TOTAL,2020-03-01,3528833.0
TOTAL,2020-04-01,0.0
TOTAL,2020-05-01,146001.0
TOTAL,2020-06-01,1008759.0
TOTAL,2020-07-01,1015478.0
TOTAL,2020-08-01,1248270.0
TOTAL,2020-09-01,1688962.0
TOTAL,2020-10-01,2323744.0
TOTAL,2020-11-01,2811976.0
TOTAL,2020-12-01,3165152.0
TOTAL,2021-01-01,3266210.0
TOTAL,2021-02-01,3334773.0
TOTAL,2021-03-01,3401898.0
TOTAL,2021-04-01,2577003.0
TOTAL,2021-05-01,1948641.5
TOTAL,2021-06-01,1320280.0
TOTAL,2021-07-01,2101511.0
TOTAL,2021-08-01,2850757.0
TOTAL,2021-09-01,3004929.0
TOTAL,2021-10-01,3878522.0
TOTAL,2021-11-01,4544925.0
TOTAL,2021-12-01,4810832.0
TOTAL,2022-01-01,2809647.0
TOTAL,2022-02-01,3412627.0
TOTAL,2022-03-01,4666620.0
TOTAL,2022-04-01,4576660.0
TOTAL,2022-05-01,4872156.0
TOTAL,2022-06-01,4524876.0
TOTAL,2022-07-01,4174797.0
TOTAL,2022-08-01,4386035.0
TOTAL,2022-09-01,4579014.0
TOTAL,2022-10-01,4932301.0
TOTAL,2022-11-01,5051339.0
TOTAL,2022-12-01,5567607.0
TOTAL,2023-01-01,5018216.0
TOTAL,2023-02-01,4849763.0
TOTAL,2023-03-01,5165356.0
TOTAL,2023-04-01,5179986.0
TOTAL,2023-05-01,5215010.0
TOTAL,2023-06-01,4981528.0
TOTAL,2023-07-01,4817891.0
TOTAL,2023-08-01,4955889.0
TOTAL,2023-09-01,4812148.0
TOTAL,2023-10-01,5000592.0
TOTAL,2023-11-01,5261952.0
TOTAL,2023-12-01,5669634.0
TOTAL,2024-01-01,5398511.0
TOTAL,2024-02-01,5224696.0
TOTAL,2024-03-01,5562015.0
TOTAL,2024-04-01,5518775.0
TOTAL,2024-05-01,5502426.0
TOTAL,2024-06-01,5486077.0
TOTAL,2024-07-01,5372667.0
TOTAL,2024-08-01,5467424.0
TOTAL,2024-09-01,5469637.0
TOTAL,2024-10-01,5715657.0
TOTAL,2024-11-01,5824874.0
TOTAL,2024-12-01,6092211.0
TOTAL,2025-01-01,5880639.0
TOTAL,2025-02-01,5522360.0
TOTAL,2025-03-01,5882293.0
TOTAL,2025-04-01,5764752.0
TOTAL,2025-05-01,5654002.0
TOTAL,2025-06-01,5488095.0
TOTAL,2025-07-01,5110021.0
TOTAL,2025-08-01,5239754.0
TOTAL,2025-09-01,5168655.0
TOTAL,2025-10-01,5563275.0
TOTAL,2025-11-01,6028049.0
TOTAL,2025-12-01,5664328.0
TOTAL,2026-01-01,5989786.0
TOTAL,2026-02-01,5606697.0
TOTAL/AGARTALA,2019-05-01,47289.0
TOTAL/AGARTALA,2019-06-01,48748.0
TOTAL/AGARTALA,2019-07-01,51463.0
TOTAL/AGARTALA,2019-08-01,50545.0
TOTAL/AGARTALA,2019-09-01,44051.0
TOTAL/AGARTALA,2019-10-01,49343.0
TOTAL/AGARTALA,2019-11-01,59638.0
TOTAL/AGARTALA,2019-12-01,52544.0
TOTAL/AGARTALA,2020-01-01,52205.0
TOTAL/AGARTALA,2020-02-01,50142.0
TOTAL/AGARTALA,2020-03-01,33304.0
TOTAL/AGARTALA,2020-04-01,16895.0
TOTAL/AGARTALA,2020-05-01,486.0
TOTAL/AGARTALA,2020-06-01,9843.0
TOTAL/AGARTALA,2020-07-01,6254.0
TOTAL/AGARTALA,2020-08-01,5666.0
TOTAL/AGARTALA,2020-09-01,9450.0
TOTAL/AGARTALA,2020-10-01,17356.0
TOTAL/AGARTALA,2020-11-01,26526.0
TOTAL/AGARTALA,2020-12-01,28090.0
TOTAL/AGARTALA,2021-01-01,31818.0
TOTAL/AGARTALA,2021-02-01,31707.0
TOTAL/AGARTALA,2021-03-01,33842.0
TOTAL/AGARTALA,2021-04-01,22390.0
TOTAL/AGARTALA,2021-05-01,15844.0
TOTAL/AGARTALA,2021-06-01,9298.0
TOTAL/AGARTALA,2021-07-01,17826.0
TOTAL/AGARTALA,2021-08-01,30613.0
TOTAL/AGARTALA,2021-09-01,34097.0
TOTAL/AGARTALA,2021-10-01,38510.0
TOTAL/AGARTALA,2021-11-01,43233.0
